                                        CALPUFF        Version: 5.8            Level: 070623      
 **********************************************************************************************************************************

 CALPUFF test case run - 3 point sources                                         
 24-Hour Simulation using CALMET met. data                                       
 Gridded receptors on 17x17 20-km met grid                                       
 
                             -----------------------
                               Hourly Mass Balance
                                      (g)
                             -----------------------
 
                                        Advected                    Wet          Dry         Domain       Domain       Domain   
 Yr  Day Hr   Species      Emitted        Out      Transformed   Depletion    Depletion       Total       Surface       Aloft   
2002   2 15 NO3           0.00000E+00  1.27234E+03 -4.94370E+04  0.00000E+00  1.31852E+02  1.86400E+05  1.47897E+05  3.85032E+04
2002   2 15 PM10          4.44607E+04  2.93074E+03  0.00000E+00  0.00000E+00  1.19366E+03  6.19360E+05  5.38679E+05  8.06815E+04
2002   2 15 NH3           5.52094E+02  3.79089E+01  0.00000E+00  0.00000E+00  0.00000E+00  7.83941E+03  6.83049E+03  1.00892E+03
2002   2 16 SO2           3.02177E+05  7.46906E+02 -6.30196E+04  0.00000E+00  8.13411E+04  2.93866E+06  2.46645E+06  4.72217E+05
2002   2 16 SO4           0.00000E+00  2.25276E+02  9.45294E+04  0.00000E+00  4.68942E+02  6.63107E+05  5.32578E+05  1.30529E+05
2002   2 16 NOX           5.01904E+05  4.73517E+02 -5.01338E+05  0.00000E+00  1.52470E+04  2.65911E+06  2.32548E+06  3.33630E+05
2002   2 16 HNO3          0.00000E+00  4.79061E+02  3.27554E+04  0.00000E+00  3.14414E+04  1.21203E+06  9.64132E+05  2.47900E+05
2002   2 16 NO3           0.00000E+00  1.96718E+02  1.22988E+05  0.00000E+00  2.11650E+02  3.08980E+05  2.37632E+05  7.13476E+04
2002   2 16 PM10          4.44607E+04  2.03948E+02  0.00000E+00  0.00000E+00  1.20279E+03  6.62414E+05  5.49839E+05  1.12575E+05
2002   2 16 NH3           5.52094E+02  2.66688E+00  0.00000E+00  0.00000E+00  0.00000E+00  8.38884E+03  6.96982E+03  1.41902E+03
2002   2 17 SO2           3.02177E+05  1.25596E+04 -6.97845E+04  0.00000E+00  7.02795E+04  3.08822E+06  2.12188E+06  9.66341E+05
2002   2 17 SO4           0.00000E+00  3.16233E+03  1.04677E+05  0.00000E+00  4.91537E+02  7.64130E+05  4.72885E+05  2.91245E+05
2002   2 17 NOX           5.01904E+05  1.04964E+04 -4.70219E+05  0.00000E+00  9.15165E+03  2.67114E+06  2.05015E+06  6.20995E+05
2002   2 17 HNO3          0.00000E+00  2.94021E+03  8.40197E+03  0.00000E+00  1.98701E+04  1.19762E+06  7.30285E+05  4.67339E+05
2002   2 17 NO3           0.00000E+00  4.74432E+03  1.38099E+05  0.00000E+00  2.61813E+02  4.42072E+05  2.60532E+05  1.81540E+05
2002   2 17 PM10          4.44607E+04  2.98707E+03  0.00000E+00  0.00000E+00  1.10298E+03  7.02785E+05  4.66567E+05  2.36218E+05
2002   2 17 NH3           5.52094E+02  3.87003E+01  0.00000E+00  0.00000E+00  0.00000E+00  8.90222E+03  5.93341E+03  2.96881E+03
2002   2 18 SO2           3.02177E+05  2.84609E+03 -6.77403E+03  0.00000E+00  7.02006E+04  3.31057E+06  2.29327E+06  1.01731E+06
2002   2 18 SO4           0.00000E+00  5.00139E+02  1.01611E+04  0.00000E+00  4.79747E+02  7.73310E+05  4.62539E+05  3.10771E+05
2002   2 18 NOX           5.01904E+05  2.67424E+03 -6.28306E+04  0.00000E+00  9.72366E+03  3.09782E+06  2.44284E+06  6.54981E+05
2002   2 18 HNO3          0.00000E+00  6.70303E+02 -3.55707E+04  0.00000E+00  1.69246E+04  1.14446E+06  6.85669E+05  4.58790E+05
2002   2 18 NO3           0.00000E+00  4.49613E+02  1.19691E+05  0.00000E+00  3.34076E+02  5.60980E+05  3.22412E+05  2.38567E+05
2002   2 18 PM10          4.44607E+04  5.60356E+02  0.00000E+00  0.00000E+00  1.15878E+03  7.45527E+05  4.95256E+05  2.50271E+05
2002   2 18 NH3           5.52094E+02  7.20576E+00  0.00000E+00  0.00000E+00  0.00000E+00  9.44711E+03  6.30178E+03  3.14533E+03
2002   2 19 SO2           3.02177E+05  5.54592E+03 -7.21830E+03  0.00000E+00  7.20526E+04  3.52793E+06  2.35025E+06  1.17769E+06
2002   2 19 SO4           0.00000E+00  1.22700E+03  1.08275E+04  0.00000E+00  4.91040E+02  7.82420E+05  4.30890E+05  3.51530E+05
2002   2 19 NOX           5.01904E+05  4.87144E+03 -7.12793E+04  0.00000E+00  1.24606E+04  3.51111E+06  2.72544E+06  7.85672E+05
2002   2 19 HNO3          0.00000E+00  9.40081E+02 -3.01403E+05  0.00000E+00  1.23884E+04  8.29727E+05  4.59678E+05  3.70049E+05
2002   2 19 NO3           0.00000E+00  2.47647E+03  3.92691E+05  0.00000E+00  5.73128E+02  9.50620E+05  5.17212E+05  4.33409E+05
2002   2 19 PM10          4.44607E+04  1.24004E+03  0.00000E+00  0.00000E+00  1.25665E+03  7.87490E+05  4.98355E+05  2.89135E+05
2002   2 19 NH3           5.52094E+02  1.61222E+01  0.00000E+00  0.00000E+00  0.00000E+00  9.98309E+03  6.35546E+03  3.62763E+03
2002   2 20 SO2           3.02177E+05  6.14592E+03 -7.65259E+03  0.00000E+00  7.09736E+04  3.74534E+06  2.44698E+06  1.29836E+06
2002   2 20 SO4           0.00000E+00  1.42418E+03  1.14789E+04  0.00000E+00  4.84653E+02  7.91990E+05  4.13103E+05  3.78887E+05
2002   2 20 NOX           5.01904E+05  4.69025E+03 -7.94631E+04  0.00000E+00  1.22996E+04  3.91656E+06  2.98912E+06  9.27448E+05
2002   2 20 HNO3          0.00000E+00  1.90118E+03 -4.95278E+04  0.00000E+00  1.04993E+04  7.67799E+05  4.14193E+05  3.53606E+05
2002   2 20 NO3           0.00000E+00  2.38459E+03  1.55844E+05  0.00000E+00  6.69022E+02  1.10341E+06  5.80805E+05  5.22607E+05
2002   2 20 PM10          4.44607E+04  1.40495E+03  0.00000E+00  0.00000E+00  1.26125E+03  8.29285E+05  5.12681E+05  3.16604E+05
2002   2 20 NH3           5.52094E+02  1.84988E+01  0.00000E+00  0.00000E+00  0.00000E+00  1.05167E+04  6.54341E+03  3.97327E+03
2002   2 21 SO2           3.02177E+05  1.13972E+04 -8.08697E+03  0.00000E+00  7.00300E+04  3.95800E+06  2.54617E+06  1.41183E+06
2002   2 21 SO4           0.00000E+00  2.64200E+03  1.21304E+04  0.00000E+00  4.98488E+02  8.00980E+05  4.04086E+05  3.96894E+05
2002   2 21 NOX           5.01904E+05  1.00225E+04 -8.74915E+04  0.00000E+00  1.25132E+04  4.30844E+06  3.21950E+06  1.08894E+06
2002   2 21 HNO3          0.00000E+00  8.61329E+02 -1.42409E+04  0.00000E+00  1.00130E+04  7.42683E+05  3.99293E+05  3.43390E+05
2002   2 21 NO3           0.00000E+00  6.70952E+03  1.31938E+05  0.00000E+00  7.79438E+02  1.22786E+06  6.36331E+05  5.91529E+05
2002   2 21 PM10          4.44607E+04  2.57185E+03  0.00000E+00  0.00000E+00  1.32115E+03  8.69853E+05  5.29684E+05  3.40168E+05
2002   2 21 NH3           5.52094E+02  3.33677E+01  0.00000E+00  0.00000E+00  0.00000E+00  1.10354E+04  6.76472E+03  4.27069E+03
2002   2 22 SO2           3.02177E+05  1.33536E+04 -8.51187E+03  0.00000E+00  6.74588E+04  4.17086E+06  2.61755E+06  1.55331E+06
2002   2 22 SO4           0.00000E+00  3.11944E+03  1.27678E+04  0.00000E+00  5.02120E+02  8.10127E+05  4.00760E+05  4.09367E+05
2002   2 22 NOX           5.01904E+05  1.25429E+04 -9.52512E+04  0.00000E+00  1.17922E+04  4.69076E+06  3.37343E+06  1.31733E+06
2002   2 22 HNO3          0.00000E+00  2.09032E+03  3.35698E+04  0.00000E+00  9.61083E+03  7.64552E+05  4.13436E+05  3.51115E+05
2002   2 22 NO3           0.00000E+00  6.80369E+03  9.53451E+04  0.00000E+00  8.53312E+02  1.31555E+06  6.64079E+05  6.51470E+05
2002   2 22 PM10          4.44607E+04  2.82092E+03  0.00000E+00  0.00000E+00  1.35012E+03  9.10142E+05  5.42033E+05  3.68108E+05
2002   2 22 NH3           5.52094E+02  3.71186E+01  0.00000E+00  0.00000E+00  0.00000E+00  1.15504E+04  6.93089E+03  4.61950E+03
2002   2 23 SO2           3.02177E+05  2.09686E+04 -8.93714E+03  0.00000E+00  6.98298E+04  4.37329E+06  2.71009E+06  1.66320E+06
2002   2 23 SO4           0.00000E+00  4.49384E+03  1.34057E+04  0.00000E+00  4.75381E+02  8.18564E+05  3.79797E+05  4.38767E+05
2002   2 23 NOX           5.01904E+05  2.06846E+04 -1.02822E+05  0.00000E+00  1.33603E+04  5.05580E+06  3.62219E+06  1.43361E+06
2002   2 23 HNO3          0.00000E+00  2.37967E+03  5.18704E+04  0.00000E+00  9.44198E+03  8.04600E+05  4.22357E+05  3.82243E+05
2002   2 23 NO3           0.00000E+00  1.24780E+04  8.75385E+04  0.00000E+00  8.86238E+02  1.38972E+06  6.73275E+05  7.16448E+05
2002   2 23 PM10          4.44607E+04  4.80171E+03  0.00000E+00  0.00000E+00  1.36841E+03  9.48432E+05  5.53661E+05  3.94772E+05
2002   2 23 NH3           5.52094E+02  6.38231E+01  0.00000E+00  0.00000E+00  0.00000E+00  1.20387E+04  7.07508E+03  4.96358E+03
2002   3  0 SO2           3.02177E+05  2.69138E+04 -9.34162E+03  0.00000E+00  7.49445E+04  4.56427E+06  2.86532E+06  1.69895E+06
2002   3  0 SO4           0.00000E+00  4.30531E+03  1.40124E+04  0.00000E+00  4.58931E+02  8.27811E+05  3.70734E+05  4.57077E+05
2002   3  0 NOX           5.01904E+05  3.33748E+04 -1.10050E+05  0.00000E+00  1.51150E+04  5.39917E+06  3.94398E+06  1.45519E+06
2002   3  0 HNO3          0.00000E+00  5.58931E+03  6.74195E+04  0.00000E+00  9.21064E+03  8.57220E+05  4.20260E+05  4.36961E+05
2002   3  0 NO3           0.00000E+00  1.02702E+04  8.19788E+04  0.00000E+00  9.47016E+02  1.46048E+06  7.34474E+05  7.26009E+05
2002   3  0 PM10          4.44607E+04  5.75214E+03  0.00000E+00  0.00000E+00  1.47281E+03  9.85668E+05  5.79424E+05  4.06244E+05
2002   3  0 NH3           5.52094E+02  7.50315E+01  0.00000E+00  0.00000E+00  0.00000E+00  1.25157E+04  7.39966E+03  5.11607E+03
